epoch,train_mse,train_relL2,val_mse,val_relL2,lr
1,0.0001864623547589872,0.04039757065474987,0.002434250812075334,0.06377672869712114,0.0001
2,9.436882974114268e-05,0.029910688847303392,0.002376301300682826,0.059369030967354776,0.0001
3,6.716218813380692e-05,0.02498247567564249,0.002119607329950668,0.05256571918725968,0.0001
4,5.4813643328088804e-05,0.022342274151742458,0.0019691930479893926,0.049334649369120596,0.0001
5,4.611614021996502e-05,0.020157588832080364,0.0018324896063859342,0.04731768444180488,0.0001
6,4.181864624115405e-05,0.019605058431625366,0.0016283016491797752,0.04417203757911921,0.0001
7,3.799298156081932e-05,0.019334874115884304,0.0016370773439120967,0.046968770958483216,0.0001
8,3.5678031053976156e-05,0.01856957543641329,0.0015383280711830593,0.04334894176572561,0.0001
9,3.163902929372853e-05,0.017725584004074334,0.0015042220167742926,0.04278386700898409,0.0001
10,2.949206027551554e-05,0.017207229416817425,0.0014370023036462953,0.04068321455270052,0.0001
11,2.844291921064723e-05,0.01726568564772606,0.0014060251796763623,0.041896610707044604,0.0001
12,2.6971975421474782e-05,0.016951472964137793,0.0013833125900418962,0.042380517907440664,0.0001
13,2.5413888579350896e-05,0.016389398369938135,0.0013390507991061895,0.03955917563289404,0.0001
14,2.420843084109947e-05,0.016114554461091758,0.0013002006908209296,0.03946912735700607,0.0001
15,2.4228099027823192e-05,0.016452761925756933,0.001346264143285225,0.03929126188158989,0.0001
16,2.4077188118099003e-05,0.016271277237683533,0.0012646868424781132,0.03890950251370669,0.0001
17,2.173760258301627e-05,0.01549033196642995,0.0012423795973518282,0.03919272217899561,0.0001
18,2.1145910977793392e-05,0.015524656139314174,0.0012665168542298488,0.0389460776001215,0.0001
19,2.0491840132308425e-05,0.015142129547894002,0.0012480783560022246,0.03982803337275982,0.0001
20,1.979345797735732e-05,0.015202995669096709,0.001192756340788037,0.0395024192519486,0.0001
21,1.9348454407008832e-05,0.01522165648639202,0.0012507200459367595,0.03958328673616052,0.0001
22,1.797166560209007e-05,0.014398570079356432,0.0011874347665070673,0.03786231223493815,0.0001
