epoch,train_relL2,val_relL2,lr
1,0.8007816433906555,0.8035999655723571,0.001
2,0.4787749290466309,0.5474855542182923,0.001
3,0.32412322163581847,0.40064051151275637,0.001
4,0.29964231252670287,0.32016817629337313,0.001
5,0.24651102721691132,0.26473631262779235,0.001
6,0.20071188509464263,0.22258716076612473,0.001
7,0.18874847292900085,0.1972087725996971,0.001
8,0.19600512981414794,0.1988157719373703,0.001
9,0.19503948092460632,0.16085600852966309,0.001
10,0.17157209813594818,0.19944377690553666,0.001
11,0.15986819863319396,0.164773091673851,0.001
12,0.15275865495204927,0.16760796159505845,0.001
13,0.15758759081363677,0.13924682140350342,0.001
14,0.13032222241163255,0.1495481789112091,0.001
15,0.17279839217662812,0.13227640092372894,0.001
16,0.13956858664751054,0.14276010692119598,0.001
17,0.11085446178913116,0.15200792849063874,0.001
18,0.12265274971723557,0.1439678631722927,0.001
19,0.1534886047244072,0.1457255721092224,0.001
20,0.15284683406352997,0.15597237646579742,0.001
21,0.1529729872941971,0.16789370775222778,0.001
22,0.1550252243876457,0.18319352865219116,0.001
23,0.13878244906663895,0.15802200138568878,0.001
24,0.1624298498034477,0.15721094757318496,0.001
25,0.1500423640012741,0.12946796864271165,0.001
26,0.10462945997714997,0.11685016974806786,0.001
27,0.18094969242811204,0.12447786927223206,0.001
28,0.12946504205465317,0.16103725731372834,0.001
29,0.13814141601324081,0.1276523672044277,0.001
30,0.11954849064350129,0.12982295453548431,0.001
31,0.130972196161747,0.13259155601263045,0.001
32,0.11966639012098312,0.12487007081508636,0.001
33,0.10378588140010833,0.13664427697658538,0.001
34,0.10164550691843033,0.13325185254216193,0.001
35,0.16193498224020003,0.16766072809696198,0.001
36,0.1471351832151413,0.1687500759959221,0.001
37,0.12952125072479248,0.14901725351810455,0.001
38,0.1654859721660614,0.1400868371129036,0.001
39,0.12490731328725815,0.1354336142539978,0.001
40,0.08964764475822448,0.12825401723384858,0.001
41,0.11615290641784667,0.12331420853734017,0.001
42,0.10343979895114899,0.13283105343580245,0.0005
43,0.11951549202203751,0.1338766947388649,0.0005
44,0.10367368906736374,0.11160308271646499,0.0005
45,0.10337276011705399,0.11227327436208726,0.0005
46,0.08678227663040161,0.12797708809375763,0.0005
47,0.10834880322217941,0.11299549788236618,0.0005
48,0.0894431158900261,0.12068985402584076,0.0005
49,0.11130415350198745,0.11516815274953843,0.0005
50,0.08465388268232346,0.10916065573692321,0.0005
51,0.1357063114643097,0.10688739567995072,0.0005
52,0.07668603211641312,0.10795267224311829,0.0005
53,0.08308080732822418,0.10825680717825889,0.0005
54,0.15082396939396858,0.1104314848780632,0.0005
55,0.12402309775352478,0.11464421302080155,0.0005
56,0.10478418171405793,0.11196600645780563,0.0005
57,0.09843799620866775,0.10614221096038819,0.0005
58,0.09103800505399703,0.12022104263305664,0.0005
59,0.08738547116518021,0.10716510266065597,0.0005
60,0.09356423169374466,0.12414297610521316,0.0005
61,0.09474680349230766,0.14787460267543792,0.0005
62,0.1128624364733696,0.11007113307714463,0.0005
63,0.09940704107284545,0.10099871009588242,0.0005
64,0.10582630187273026,0.10648395717144013,0.0005
65,0.10803736895322799,0.10195717737078666,0.0005
66,0.10905178934335709,0.10916789919137955,0.0005
67,0.08258893191814423,0.10162666663527489,0.0005
68,0.06863571852445602,0.11335221976041794,0.0005
69,0.10653275698423385,0.10711000561714172,0.0005
70,0.0799942024052143,0.10567344650626183,0.0005
71,0.12915827035903932,0.12289809286594391,0.0005
72,0.08169125616550446,0.10197502523660659,0.0005
73,0.10160402655601501,0.11330208480358124,0.0005
74,0.12164403647184371,0.12401905730366707,0.0005
75,0.11526035070419312,0.1280924767255783,0.0005
76,0.11851959228515625,0.10503648966550827,0.0005
77,0.07351086363196373,0.10354927182197571,0.0005
78,0.08642241656780243,0.10400104373693467,0.0005
79,0.0719956710934639,0.11921536773443223,0.00025
80,0.07658036425709724,0.10408361256122589,0.00025
81,0.11222314685583115,0.10488606691360473,0.00025
82,0.08293707370758056,0.09789608493447303,0.00025
83,0.10217414125800132,0.09994718283414841,0.00025
84,0.06901438012719155,0.1094605416059494,0.00025
85,0.07442659884691238,0.10011073425412179,0.00025
86,0.118704205006361,0.09846705794334412,0.00025
87,0.10206904783844947,0.1012510672211647,0.00025
88,0.08964220732450486,0.09865019097924232,0.00025
89,0.09289986193180085,0.10665318518877029,0.00025
90,0.09515606611967087,0.10421671867370605,0.00025
91,0.08334564343094826,0.11312151178717614,0.00025
92,0.1058214284479618,0.10812851712107659,0.00025
93,0.08693285286426544,0.12117303237318992,0.00025
94,0.09046705067157745,0.10837379693984986,0.00025
95,0.10150653421878815,0.11415210962295533,0.00025
96,0.0710135892033577,0.09927734062075615,0.00025
97,0.07923946678638458,0.10307387933135033,0.00025
98,0.09250411465764045,0.10048891305923462,0.000125
99,0.10937778651714325,0.10107918232679367,0.000125
100,0.06222987249493599,0.10415822342038154,0.000125
101,0.07711354345083236,0.09945290759205819,0.000125
102,0.0796032927930355,0.10214727744460106,0.000125
103,0.0539463110268116,0.09789911061525344,0.000125
104,0.10509504228830338,0.10079849287867546,0.000125
105,0.06833984032273292,0.09886570870876313,0.000125
106,0.06376862823963166,0.09875039979815484,0.000125
107,0.07879972085356712,0.10075103938579559,0.000125
108,0.05344070047140122,0.09678581431508064,0.000125
109,0.09674897491931915,0.09916940778493881,0.000125
110,0.06687222942709922,0.0979395218193531,0.000125
111,0.07489822655916215,0.09802795574069023,0.000125
112,0.08274637460708618,0.10063243806362152,0.000125
113,0.07478446066379547,0.10072099044919014,0.000125
114,0.07574140951037407,0.09703359752893448,0.000125
115,0.06132662072777748,0.10007534325122833,0.000125
116,0.07338206470012665,0.09827247262001038,0.000125
117,0.06347198411822319,0.09912066757678986,0.000125
118,0.0656820610165596,0.09601143673062325,0.000125
119,0.08558551594614983,0.09680974036455155,0.000125
120,0.06441333368420601,0.10189502239227295,0.000125
121,0.06521542221307755,0.09619741439819336,0.000125
122,0.07065756171941757,0.09658977389335632,0.000125
123,0.07334986627101898,0.09723301976919174,0.000125
124,0.06570002809166908,0.09687230139970779,0.000125
125,0.10598509013652802,0.09745328277349471,0.000125
126,0.09556821137666702,0.10325236171483994,0.000125
127,0.06868651136755943,0.09460950866341591,0.000125
128,0.0582227423787117,0.09529521986842156,0.000125
129,0.06473497375845909,0.1089447408914566,0.000125
130,0.08410443961620331,0.09859261363744735,0.000125
131,0.06138516217470169,0.10631772875785828,0.000125
132,0.09293720424175263,0.09750148504972458,0.000125
133,0.06636031270027161,0.09686778038740158,0.000125
134,0.06693336293101311,0.09824450314044952,0.000125
135,0.07549736350774765,0.09735279232263565,0.000125
136,0.05488114356994629,0.09932889565825462,0.000125
137,0.07158193737268448,0.09679711163043976,0.000125
138,0.07154481559991836,0.09492161273956298,0.000125
139,0.059556427597999576,0.10394347757101059,0.000125
140,0.04683597907423973,0.09674773663282395,0.000125
141,0.06973221972584724,0.09934610202908516,0.000125
142,0.07273068875074387,0.09813065081834793,0.000125
143,0.06596677899360656,0.09879459664225579,6.25e-05
144,0.09095101207494735,0.09746235460042954,6.25e-05
145,0.05554342940449715,0.09641117826104165,6.25e-05
146,0.0581704817712307,0.09913476258516311,6.25e-05
147,0.13618959188461305,0.095555479824543,6.25e-05
148,0.10383525490760803,0.09730603843927384,6.25e-05
149,0.07459531649947167,0.0997168242931366,6.25e-05
150,0.07190535590052605,0.0961550921201706,6.25e-05
